number,opened_at,resolved_at,closed_at,category,subcategory,priority,assignment_group,incident_state,reassignment_count,reopen_count,final_end_time,Resolution_Time_Hours
INC0000045,2016-02-29 01:16:00,2016-02-29 11:29:00,2016-03-05 12:00:00,Category 55,Subcategory 170,3 - Moderate,Group 56,Closed,0,0,2016-02-29 11:29:00,10.216666666666667
INC0000047,2016-02-29 04:40:00,2016-03-01 09:52:00,2016-03-06 10:00:00,Category 40,Subcategory 215,3 - Moderate,Group 24,Closed,1,0,2016-03-01 09:52:00,29.2
INC0000057,2016-02-29 06:10:00,2016-03-01 02:55:00,2016-03-06 03:00:00,Category 20,Subcategory 125,3 - Moderate,Group 70,Closed,0,0,2016-03-01 02:55:00,20.75
INC0000060,2016-02-29 06:38:00,2016-03-02 12:06:00,2016-03-07 13:00:00,Category 9,Subcategory 97,3 - Moderate,Group 25,Closed,0,0,2016-03-02 12:06:00,53.46666666666667
INC0000062,2016-02-29 06:58:00,2016-02-29 15:51:00,2016-03-05 16:00:00,Category 53,Subcategory 168,2 - High,Group 23,Closed,1,0,2016-02-29 15:51:00,8.883333333333333
INC0000063,2016-02-29 07:08:00,2016-02-29 16:01:00,2016-03-05 17:00:00,Category 20,Subcategory 125,3 - Moderate,Group 23,Closed,1,0,2016-02-29 16:01:00,8.883333333333333
INC0000064,2016-02-29 07:10:00,2016-03-03 16:00:00,2016-03-08 17:00:00,Category 53,Subcategory 168,3 - Moderate,Group 28,Closed,1,0,2016-03-03 16:00:00,80.83333333333333
INC0000065,2016-02-29 07:38:00,2016-03-02 15:21:00,2016-03-07 16:00:00,Category 45,Subcategory 94,3 - Moderate,Group 33,Closed,6,0,2016-03-02 15:21:00,55.71666666666667
INC0000066,2016-02-29 08:03:00,2016-03-02 14:37:00,2016-03-07 15:00:00,Category 55,Subcategory 185,3 - Moderate,Group 54,Closed,1,0,2016-03-02 14:37:00,54.56666666666667
INC0000067,2016-02-29 08:03:00,2016-03-02 11:11:00,2016-03-07 12:00:00,Category 9,Subcategory 110,3 - Moderate,Group 28,Closed,1,0,2016-03-02 11:11:00,51.13333333333333
INC0000070,2016-02-29 08:11:00,2016-03-08 09:55:00,2016-03-24 18:40:00,Category 9,Subcategory 164,3 - Moderate,Group 29,Closed,1,0,2016-03-08 09:55:00,193.73333333333332
INC0000071,2016-02-29 08:12:00,2016-03-01 10:38:00,2016-03-06 11:00:00,Category 9,Subcategory 164,3 - Moderate,Group 24,Closed,0,0,2016-03-01 10:38:00,26.433333333333334
INC0000073,2016-02-29 08:22:00,2016-03-01 15:37:00,2016-03-06 16:00:00,Category 53,Subcategory 271,3 - Moderate,Group 54,Closed,1,0,2016-03-01 15:37:00,31.25
INC0000074,2016-02-29 08:23:00,2016-04-11 14:39:00,2016-04-16 15:07:00,Category 45,Subcategory 220,3 - Moderate,Group 66,Closed,0,0,2016-04-11 14:39:00,1014.2666666666667
INC0000076,2016-02-29 08:25:00,2016-02-29 16:27:00,2016-03-05 17:00:00,Category 42,Subcategory 224,3 - Moderate,Group 23,Closed,0,0,2016-02-29 16:27:00,8.033333333333333
INC0000077,2016-02-29 08:27:00,2016-02-29 09:04:00,2016-03-05 10:00:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,0,0,2016-02-29 09:04:00,0.6166666666666667
INC0000079,2016-02-29 08:32:00,2016-02-29 11:20:00,2016-03-05 12:00:00,Category 55,Subcategory 170,3 - Moderate,Group 65,Closed,1,0,2016-02-29 11:20:00,2.8
INC0000080,2016-02-29 08:33:00,2016-03-02 11:40:00,2016-03-07 12:00:00,Category 32,Subcategory 9,3 - Moderate,Group 70,Closed,0,0,2016-03-02 11:40:00,51.11666666666667
INC0000083,2016-02-29 08:39:00,2016-02-29 16:05:00,2016-03-05 17:00:00,Category 24,Subcategory 164,4 - Low,Group 23,Closed,1,0,2016-02-29 16:05:00,7.433333333333334
INC0000084,2016-02-29 08:39:00,2016-04-12 14:46:00,2016-04-17 15:07:00,Category 45,Subcategory 220,4 - Low,Group 66,Closed,0,0,2016-04-12 14:46:00,1038.1166666666666
INC0000085,2016-02-29 08:41:00,2016-03-02 14:44:00,2016-03-07 15:00:00,Category 20,Subcategory 125,3 - Moderate,Group 54,Closed,0,0,2016-03-02 14:44:00,54.05
